pSty,0.4644,-8.208,0.01,0.01,25,Voorter et al.,doi.org/10.1002/anie.202114536
PEG,0.4466,-8.327,0.01,0.01,25,Voorter et al.,doi.org/10.1002/anie.202114536
pMMA,0.45,-8.27,0.01,0.01,25,Voorter et al.,in_press
pBA,0.51,-8.05,0.01,0.01,25,Voorter et al.,in_press
pPEGMEA,0.43,-8.39,0.01,0.01,25,Voorter et al.,in_press
